timestamp,world,config,execution_time_s,nav_accuracy_m,path_efficiency,recovery_count,battery_pct,total_distance_m,navigation_active,goals_completed,goals_failed,goals_canceled,goal_status
2.9,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.0,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.5,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.0,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.5,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.0,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.5,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.0,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.5,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.0,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.5,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.0,house,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.5,house,adaptive,0.5,0.0,1.0,0,100.0,0.0,True,0,0,0,ACTIVE
9.0,house,adaptive,1.0,0.0,1.0,0,100.0,0.0,True,0,0,0,ACTIVE
9.5,house,adaptive,1.5,0.0,1.0,0,100.0,0.02,True,0,0,0,ACTIVE
10.0,house,adaptive,2.0,0.0,1.0,0,100.0,0.07,True,0,0,0,ACTIVE
10.5,house,adaptive,2.5,0.0,1.0,0,100.0,0.18,True,0,0,0,ACTIVE
11.0,house,adaptive,3.0,0.0,1.0,0,100.0,0.27,True,0,0,0,ACTIVE
11.5,house,adaptive,3.5,0.0,1.0,0,100.0,0.36,True,0,0,0,ACTIVE
12.0,house,adaptive,4.0,0.0,1.0,0,100.0,0.47,True,0,0,0,ACTIVE
12.5,house,adaptive,4.5,0.0,1.0,0,100.0,0.56,True,0,0,0,ACTIVE
13.0,house,adaptive,5.0,0.0,1.0,0,100.0,0.67,True,0,0,0,ACTIVE
13.5,house,adaptive,5.5,0.0,1.0,0,100.0,0.77,True,0,0,0,ACTIVE
14.0,house,adaptive,6.0,0.0,1.0,0,100.0,0.87,True,0,0,0,ACTIVE
14.5,house,adaptive,6.5,0.0,1.0,0,100.0,0.96,True,0,0,0,ACTIVE
15.0,house,adaptive,7.0,0.0,1.0,0,99.9,1.07,True,0,0,0,ACTIVE
15.5,house,adaptive,7.5,0.0,1.0,0,99.9,1.18,True,0,0,0,ACTIVE
16.0,house,adaptive,8.0,0.0,1.0,0,99.9,1.28,True,0,0,0,ACTIVE
16.5,house,adaptive,8.6,0.0,1.0,0,99.9,1.37,True,0,0,0,ACTIVE
17.0,house,adaptive,9.1,0.0,1.0,0,99.9,1.47,True,0,0,0,ACTIVE
17.5,house,adaptive,9.6,0.0,1.0,0,99.9,1.58,True,0,0,0,ACTIVE
18.0,house,adaptive,10.1,0.0,1.0,0,99.9,1.68,True,0,0,0,ACTIVE
18.5,house,adaptive,10.6,0.0,1.0,0,99.9,1.78,True,0,0,0,ACTIVE
19.0,house,adaptive,11.1,0.0,1.0,0,99.9,1.88,True,0,0,0,ACTIVE
19.5,house,adaptive,11.6,0.0,1.0,0,99.9,2.0,True,0,0,0,ACTIVE
20.0,house,adaptive,12.1,0.0,1.0,0,99.9,2.1,True,0,0,0,ACTIVE
20.5,house,adaptive,12.6,0.0,1.0,0,99.9,2.2,True,0,0,0,ACTIVE
21.0,house,adaptive,13.1,0.0,1.0,0,99.9,2.31,True,0,0,0,ACTIVE
21.5,house,adaptive,13.6,0.0,1.0,0,99.9,2.4,True,0,0,0,ACTIVE
22.0,house,adaptive,14.1,0.0,1.0,0,99.9,2.48,True,0,0,0,ACTIVE
22.5,house,adaptive,14.6,0.0,0.99,0,99.9,2.56,True,0,0,0,ACTIVE
23.0,house,adaptive,15.1,0.0,0.98,0,99.9,2.56,True,0,0,0,ACTIVE
23.5,house,adaptive,15.7,0.0,0.98,0,99.9,2.59,True,0,0,0,ACTIVE
24.0,house,adaptive,16.2,0.0,0.96,0,99.9,2.62,True,0,0,0,ACTIVE
24.5,house,adaptive,16.5,0.08,0.96,0,99.9,2.64,False,1,0,0,SUCCEEDED
25.0,house,adaptive,16.5,0.08,0.96,0,99.9,2.65,False,1,0,0,SUCCEEDED
25.5,house,adaptive,16.5,0.08,0.96,0,99.9,2.66,False,1,0,0,SUCCEEDED
26.0,house,adaptive,16.5,0.08,0.96,0,99.9,2.66,False,1,0,0,SUCCEEDED
26.5,house,adaptive,16.5,0.08,0.96,0,99.9,2.66,False,1,0,0,SUCCEEDED
27.0,house,adaptive,16.5,0.08,0.96,0,99.9,2.66,False,1,0,0,SUCCEEDED
27.5,house,adaptive,0.5,0.08,1.0,0,99.9,2.73,True,1,0,0,ACTIVE
28.0,house,adaptive,1.0,0.08,1.0,0,99.9,2.82,True,1,0,0,ACTIVE
28.5,house,adaptive,1.5,0.08,1.0,0,99.9,2.91,True,1,0,0,ACTIVE
29.0,house,adaptive,2.0,0.08,1.0,0,99.8,3.01,True,1,0,0,ACTIVE
29.5,house,adaptive,2.5,0.08,1.0,0,99.8,3.11,True,1,0,0,ACTIVE
