timestamp,world,config,execution_time_s,nav_accuracy_m,path_efficiency,recovery_count,battery_pct,total_distance_m,navigation_active,goals_completed,goals_failed,goals_canceled,goal_status
2.9,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.0,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.5,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.0,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.5,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.0,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.5,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.0,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.5,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.0,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.5,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.0,house,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.5,house,baseline,0.5,0.0,1.0,0,100.0,0.0,True,0,0,0,ACTIVE
9.0,house,baseline,1.0,0.0,1.0,0,100.0,0.0,True,0,0,0,ACTIVE
9.5,house,baseline,1.5,0.0,1.0,0,100.0,0.01,True,0,0,0,ACTIVE
10.0,house,baseline,2.0,0.0,1.0,0,100.0,0.04,True,0,0,0,ACTIVE
10.5,house,baseline,2.5,0.0,1.0,0,100.0,0.15,True,0,0,0,ACTIVE
11.0,house,baseline,3.0,0.0,1.0,0,100.0,0.24,True,0,0,0,ACTIVE
11.5,house,baseline,3.5,0.0,1.0,0,100.0,0.33,True,0,0,0,ACTIVE
12.0,house,baseline,4.0,0.0,1.0,0,100.0,0.44,True,0,0,0,ACTIVE
12.5,house,baseline,4.5,0.0,1.0,0,100.0,0.54,True,0,0,0,ACTIVE
13.0,house,baseline,5.0,0.0,1.0,0,100.0,0.64,True,0,0,0,ACTIVE
13.5,house,baseline,5.5,0.0,1.0,0,100.0,0.74,True,0,0,0,ACTIVE
14.0,house,baseline,6.0,0.0,1.0,0,100.0,0.85,True,0,0,0,ACTIVE
14.5,house,baseline,6.5,0.0,1.0,0,100.0,0.94,True,0,0,0,ACTIVE
15.0,house,baseline,7.0,0.0,1.0,0,99.9,1.05,True,0,0,0,ACTIVE
15.5,house,baseline,7.5,0.0,1.0,0,99.9,1.15,True,0,0,0,ACTIVE
16.0,house,baseline,8.0,0.0,1.0,0,99.9,1.26,True,0,0,0,ACTIVE
16.5,house,baseline,8.6,0.0,1.0,0,99.9,1.35,True,0,0,0,ACTIVE
17.0,house,baseline,9.1,0.0,1.0,0,99.9,1.44,True,0,0,0,ACTIVE
17.5,house,baseline,9.6,0.0,1.0,0,99.9,1.55,True,0,0,0,ACTIVE
18.0,house,baseline,10.1,0.0,1.0,0,99.9,1.64,True,0,0,0,ACTIVE
18.5,house,baseline,10.6,0.0,1.0,0,99.9,1.75,True,0,0,0,ACTIVE
19.0,house,baseline,11.1,0.0,1.0,0,99.9,1.85,True,0,0,0,ACTIVE
19.5,house,baseline,11.6,0.0,1.0,0,99.9,1.95,True,0,0,0,ACTIVE
20.0,house,baseline,12.1,0.0,1.0,0,99.9,2.05,True,0,0,0,ACTIVE
20.5,house,baseline,12.6,0.0,1.0,0,99.9,2.15,True,0,0,0,ACTIVE
21.0,house,baseline,13.1,0.0,1.0,0,99.9,2.27,True,0,0,0,ACTIVE
21.5,house,baseline,13.6,0.0,1.0,0,99.9,2.36,True,0,0,0,ACTIVE
22.0,house,baseline,14.1,0.0,1.0,0,99.9,2.43,True,0,0,0,ACTIVE
22.5,house,baseline,14.7,0.0,1.0,0,99.9,2.51,True,0,0,0,ACTIVE
23.0,house,baseline,15.2,0.0,1.0,0,99.9,2.53,True,0,0,0,ACTIVE
23.5,house,baseline,15.7,0.0,1.0,0,99.9,2.53,True,0,0,0,ACTIVE
24.0,house,baseline,16.2,0.0,0.99,0,99.9,2.54,True,0,0,0,ACTIVE
24.5,house,baseline,16.7,0.0,0.98,0,99.9,2.58,True,0,0,0,ACTIVE
25.0,house,baseline,16.8,0.102,0.98,0,99.9,2.62,False,1,0,0,SUCCEEDED
25.5,house,baseline,16.8,0.102,0.98,0,99.9,2.64,False,1,0,0,SUCCEEDED
26.0,house,baseline,16.8,0.102,0.98,0,99.9,2.65,False,1,0,0,SUCCEEDED
26.5,house,baseline,16.8,0.102,0.98,0,99.9,2.65,False,1,0,0,SUCCEEDED
27.0,house,baseline,16.8,0.102,0.98,0,99.9,2.65,False,1,0,0,SUCCEEDED
27.5,house,baseline,0.5,0.102,1.0,0,99.9,2.72,True,1,0,0,ACTIVE
28.0,house,baseline,1.0,0.102,1.0,0,99.9,2.82,True,1,0,0,ACTIVE
28.5,house,baseline,1.5,0.102,1.0,0,99.9,2.91,True,1,0,0,ACTIVE
29.0,house,baseline,2.0,0.102,1.0,0,99.8,3.02,True,1,0,0,ACTIVE
29.5,house,baseline,2.5,0.102,1.0,0,99.8,3.11,True,1,0,0,ACTIVE
30.0,house,baseline,3.0,0.102,1.0,0,99.8,3.21,True,1,0,0,ACTIVE
30.5,house,baseline,3.5,0.102,1.0,0,99.8,3.31,True,1,0,0,ACTIVE
31.0,house,baseline,4.0,0.102,1.0,0,99.8,3.41,True,1,0,0,ACTIVE
31.5,house,baseline,4.6,0.102,1.0,0,99.8,3.5,True,1,0,0,ACTIVE
32.0,house,baseline,5.1,0.102,1.0,0,99.8,3.6,True,1,0,0,ACTIVE
32.5,house,baseline,5.6,0.102,1.0,0,99.8,3.7,True,1,0,0,ACTIVE
33.0,house,baseline,6.1,0.102,1.0,0,99.8,3.8,True,1,0,0,ACTIVE
33.5,house,baseline,6.6,0.102,1.0,0,99.8,3.9,True,1,0,0,ACTIVE
34.0,house,baseline,7.1,0.102,1.0,0,99.8,4.01,True,1,0,0,ACTIVE
34.5,house,baseline,7.6,0.102,1.0,0,99.8,4.11,True,1,0,0,ACTIVE
35.0,house,baseline,8.1,0.102,1.0,0,99.8,4.21,True,1,0,0,ACTIVE
35.5,house,baseline,8.6,0.102,1.0,0,99.8,4.31,True,1,0,0,ACTIVE
36.0,house,baseline,9.1,0.102,1.0,0,99.8,4.41,True,1,0,0,ACTIVE
