timestamp,world,config,execution_time_s,nav_accuracy_m,path_efficiency,recovery_count,battery_pct,total_distance_m,navigation_active,goals_completed,goals_failed,goals_canceled,goal_status
3.3,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.5,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.0,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.5,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.0,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.5,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.0,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.5,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.0,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.5,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.0,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.5,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
9.0,narrow,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
9.5,narrow,adaptive,0.5,0.0,1.0,0,100.0,0.06,True,0,0,0,ACTIVE
10.0,narrow,adaptive,1.0,0.0,1.0,0,100.0,0.16,True,0,0,0,ACTIVE
10.5,narrow,adaptive,1.5,0.0,1.0,0,100.0,0.26,True,0,0,0,ACTIVE
11.0,narrow,adaptive,2.0,0.0,1.0,0,100.0,0.36,True,0,0,0,ACTIVE
11.5,narrow,adaptive,2.5,0.0,1.0,0,100.0,0.46,True,0,0,0,ACTIVE
12.0,narrow,adaptive,3.0,0.0,1.0,0,100.0,0.56,True,0,0,0,ACTIVE
12.5,narrow,adaptive,3.5,0.0,1.0,0,100.0,0.66,True,0,0,0,ACTIVE
13.0,narrow,adaptive,4.0,0.0,1.0,1,100.0,0.68,True,0,0,0,ACTIVE
13.5,narrow,adaptive,4.5,0.0,1.0,4,100.0,0.69,True,0,0,0,ACTIVE
14.0,narrow,adaptive,5.0,0.0,1.0,4,100.0,0.69,True,0,0,0,ACTIVE
14.5,narrow,adaptive,5.5,0.0,1.0,4,100.0,0.7,True,0,0,0,ACTIVE
15.0,narrow,adaptive,6.0,0.0,1.0,5,100.0,0.7,True,0,0,0,ACTIVE
15.5,narrow,adaptive,6.5,0.0,1.0,6,100.0,0.7,True,0,0,0,ACTIVE
16.0,narrow,adaptive,7.0,0.0,1.0,6,100.0,0.7,True,0,0,0,ACTIVE
16.5,narrow,adaptive,7.5,0.0,1.0,6,100.0,0.7,True,0,0,0,ACTIVE
17.0,narrow,adaptive,8.0,0.0,1.0,6,100.0,0.71,True,0,0,0,ACTIVE
17.5,narrow,adaptive,8.5,0.0,1.0,6,100.0,0.72,True,0,0,0,ACTIVE
18.0,narrow,adaptive,9.0,0.0,1.0,6,100.0,0.72,True,0,0,0,ACTIVE
18.5,narrow,adaptive,9.5,0.0,1.0,6,100.0,0.75,True,0,0,0,ACTIVE
19.0,narrow,adaptive,10.0,0.0,1.0,6,100.0,0.76,True,0,0,0,ACTIVE
19.5,narrow,adaptive,10.5,0.0,1.0,6,100.0,0.77,True,0,0,0,ACTIVE
20.0,narrow,adaptive,11.0,0.0,1.0,6,100.0,0.78,True,0,0,0,ACTIVE
20.5,narrow,adaptive,11.5,0.0,1.0,6,100.0,0.79,True,0,0,0,ACTIVE
21.0,narrow,adaptive,12.0,0.0,1.0,6,100.0,0.79,True,0,0,0,ACTIVE
21.5,narrow,adaptive,12.5,0.0,1.0,6,100.0,0.81,True,0,0,0,ACTIVE
22.0,narrow,adaptive,13.0,0.0,1.0,6,100.0,0.84,True,0,0,0,ACTIVE
22.5,narrow,adaptive,13.5,0.0,1.0,6,100.0,0.88,True,0,0,0,ACTIVE
23.0,narrow,adaptive,14.0,0.0,1.0,6,100.0,0.93,True,0,0,0,ACTIVE
23.5,narrow,adaptive,14.5,0.0,1.0,6,100.0,0.98,True,0,0,0,ACTIVE
24.0,narrow,adaptive,15.0,0.0,1.0,9,100.0,0.98,True,0,0,0,ACTIVE
24.5,narrow,adaptive,15.5,0.0,1.0,9,100.0,0.99,True,0,0,0,ACTIVE
25.0,narrow,adaptive,16.0,0.0,1.0,9,100.0,0.99,True,0,0,0,ACTIVE
25.5,narrow,adaptive,16.5,0.0,1.0,9,100.0,0.99,True,0,0,0,ACTIVE
26.0,narrow,adaptive,17.0,0.0,1.0,9,100.0,0.99,True,0,0,0,ACTIVE
26.5,narrow,adaptive,17.5,0.0,1.0,9,100.0,0.99,True,0,0,0,ACTIVE
27.0,narrow,adaptive,18.0,0.0,1.0,9,100.0,0.99,True,0,0,0,ACTIVE
27.5,narrow,adaptive,18.5,0.0,1.0,9,100.0,0.99,True,0,0,0,ACTIVE
28.0,narrow,adaptive,19.0,0.0,1.0,9,100.0,0.99,True,0,0,0,ACTIVE
28.5,narrow,adaptive,19.5,0.0,1.0,9,100.0,0.99,True,0,0,0,ACTIVE
29.0,narrow,adaptive,20.0,0.0,1.0,9,99.9,1.01,True,0,0,0,ACTIVE
29.5,narrow,adaptive,20.5,0.0,1.0,9,99.9,1.06,True,0,0,0,ACTIVE
