timestamp,world,config,execution_time_s,nav_accuracy_m,path_efficiency,recovery_count,battery_pct,total_distance_m,navigation_active,goals_completed,goals_failed,goals_canceled,goal_status
2.9,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.0,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.5,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.0,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.5,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.0,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.5,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.0,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.5,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.0,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.5,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.0,narrow,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.5,narrow,baseline,0.5,0.0,1.0,0,100.0,0.07,True,0,0,0,ACTIVE
9.0,narrow,baseline,1.0,0.0,1.0,0,100.0,0.17,True,0,0,0,ACTIVE
9.5,narrow,baseline,1.6,0.0,1.0,0,100.0,0.27,True,0,0,0,ACTIVE
10.0,narrow,baseline,2.1,0.0,1.0,0,100.0,0.37,True,0,0,0,ACTIVE
10.5,narrow,baseline,2.6,0.0,1.0,0,100.0,0.47,True,0,0,0,ACTIVE
11.0,narrow,baseline,3.1,0.0,1.0,0,100.0,0.57,True,0,0,0,ACTIVE
11.5,narrow,baseline,3.6,0.0,1.0,1,100.0,0.62,True,0,0,0,ACTIVE
12.0,narrow,baseline,4.1,0.0,1.0,3,100.0,0.63,True,0,0,0,ACTIVE
12.5,narrow,baseline,4.6,0.0,1.0,3,100.0,0.64,True,0,0,0,ACTIVE
13.0,narrow,baseline,5.2,0.0,1.0,4,100.0,0.64,True,0,0,0,ACTIVE
13.5,narrow,baseline,5.7,0.0,1.0,4,100.0,0.66,True,0,0,0,ACTIVE
14.0,narrow,baseline,6.2,0.0,1.0,5,100.0,0.66,True,0,0,0,ACTIVE
14.5,narrow,baseline,6.7,0.0,1.0,5,100.0,0.66,True,0,0,0,ACTIVE
15.0,narrow,baseline,7.2,0.0,1.0,5,100.0,0.67,True,0,0,0,ACTIVE
15.5,narrow,baseline,7.7,0.0,1.0,5,100.0,0.68,True,0,0,0,ACTIVE
16.0,narrow,baseline,8.3,0.0,1.0,5,100.0,0.68,True,0,0,0,ACTIVE
16.5,narrow,baseline,8.8,0.0,1.0,5,100.0,0.69,True,0,0,0,ACTIVE
17.0,narrow,baseline,9.3,0.0,1.0,5,100.0,0.71,True,0,0,0,ACTIVE
17.5,narrow,baseline,9.8,0.0,1.0,5,100.0,0.72,True,0,0,0,ACTIVE
18.0,narrow,baseline,10.3,0.0,1.0,5,100.0,0.73,True,0,0,0,ACTIVE
18.5,narrow,baseline,10.8,0.0,1.0,5,100.0,0.75,True,0,0,0,ACTIVE
19.0,narrow,baseline,11.3,0.0,1.0,5,100.0,0.77,True,0,0,0,ACTIVE
19.5,narrow,baseline,11.9,0.0,1.0,5,100.0,0.78,True,0,0,0,ACTIVE
20.0,narrow,baseline,12.4,0.0,1.0,5,100.0,0.79,True,0,0,0,ACTIVE
20.5,narrow,baseline,12.9,0.0,1.0,6,100.0,0.83,True,0,0,0,ACTIVE
21.0,narrow,baseline,13.4,0.0,1.0,6,100.0,0.88,True,0,0,0,ACTIVE
21.5,narrow,baseline,13.9,0.0,1.0,6,100.0,0.91,True,0,0,0,ACTIVE
22.0,narrow,baseline,14.4,0.0,1.0,6,100.0,0.92,True,0,0,0,ACTIVE
22.5,narrow,baseline,14.9,0.0,1.0,6,100.0,0.93,True,0,0,0,ACTIVE
23.0,narrow,baseline,15.5,0.0,1.0,7,100.0,0.93,True,0,0,0,ACTIVE
23.5,narrow,baseline,16.0,0.0,1.0,7,100.0,0.94,True,0,0,0,ACTIVE
