timestamp,world,config,execution_time_s,nav_accuracy_m,path_efficiency,recovery_count,battery_pct,total_distance_m,navigation_active,goals_completed,goals_failed,goals_canceled,goal_status
3.2,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.5,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.0,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.5,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.0,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.5,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.0,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.5,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.0,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.5,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.0,obstacles,adaptive,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.5,obstacles,adaptive,0.5,0.0,1.0,0,100.0,0.07,True,0,0,0,ACTIVE
9.0,obstacles,adaptive,1.0,0.0,1.0,0,100.0,0.17,True,0,0,0,ACTIVE
9.5,obstacles,adaptive,1.5,0.0,1.0,0,100.0,0.27,True,0,0,0,ACTIVE
10.0,obstacles,adaptive,2.0,0.0,1.0,0,100.0,0.37,True,0,0,0,ACTIVE
10.5,obstacles,adaptive,2.5,0.0,1.0,0,100.0,0.47,True,0,0,0,ACTIVE
11.0,obstacles,adaptive,3.0,0.0,1.0,0,100.0,0.57,True,0,0,0,ACTIVE
11.5,obstacles,adaptive,3.5,0.0,1.0,0,100.0,0.67,True,0,0,0,ACTIVE
12.0,obstacles,adaptive,4.0,0.0,1.0,0,100.0,0.78,True,0,0,0,ACTIVE
12.5,obstacles,adaptive,4.5,0.0,1.0,0,100.0,0.88,True,0,0,0,ACTIVE
13.0,obstacles,adaptive,5.1,0.0,1.0,0,100.0,0.98,True,0,0,0,ACTIVE
13.5,obstacles,adaptive,5.6,0.0,1.0,0,99.9,1.08,True,0,0,0,ACTIVE
14.0,obstacles,adaptive,6.1,0.0,1.0,0,99.9,1.18,True,0,0,0,ACTIVE
14.5,obstacles,adaptive,6.6,0.0,1.0,0,99.9,1.28,True,0,0,0,ACTIVE
15.0,obstacles,adaptive,7.1,0.0,1.0,0,99.9,1.38,True,0,0,0,ACTIVE
15.5,obstacles,adaptive,7.6,0.0,1.0,0,99.9,1.47,True,0,0,0,ACTIVE
16.0,obstacles,adaptive,8.1,0.0,1.0,0,99.9,1.58,True,0,0,0,ACTIVE
16.5,obstacles,adaptive,8.6,0.0,1.0,0,99.9,1.69,True,0,0,0,ACTIVE
17.0,obstacles,adaptive,9.1,0.0,1.0,0,99.9,1.79,True,0,0,0,ACTIVE
17.5,obstacles,adaptive,9.6,0.0,1.0,0,99.9,1.87,True,0,0,0,ACTIVE
18.0,obstacles,adaptive,10.1,0.0,1.0,0,99.9,1.96,True,0,0,0,ACTIVE
18.5,obstacles,adaptive,10.6,0.0,1.0,0,99.9,2.07,True,0,0,0,ACTIVE
19.0,obstacles,adaptive,11.1,0.0,1.0,0,99.9,2.15,True,0,0,0,ACTIVE
19.5,obstacles,adaptive,11.6,0.0,1.0,0,99.9,2.25,True,0,0,0,ACTIVE
20.0,obstacles,adaptive,12.1,0.0,1.0,0,99.9,2.35,True,0,0,0,ACTIVE
20.5,obstacles,adaptive,12.6,0.0,1.0,0,99.9,2.43,True,0,0,0,ACTIVE
21.0,obstacles,adaptive,13.1,0.0,1.0,0,99.9,2.53,True,0,0,0,ACTIVE
21.5,obstacles,adaptive,13.6,0.0,1.0,0,99.9,2.63,True,0,0,0,ACTIVE
22.0,obstacles,adaptive,14.1,0.0,1.0,0,99.9,2.72,True,0,0,0,ACTIVE
22.5,obstacles,adaptive,14.7,0.0,1.0,0,99.9,2.82,True,0,0,0,ACTIVE
23.0,obstacles,adaptive,15.2,0.0,1.0,0,99.9,2.92,True,0,0,0,ACTIVE
23.5,obstacles,adaptive,15.7,0.0,1.0,0,99.8,3.02,True,0,0,0,ACTIVE
24.0,obstacles,adaptive,16.2,0.0,1.0,0,99.8,3.12,True,0,0,0,ACTIVE
24.5,obstacles,adaptive,16.7,0.0,1.0,0,99.8,3.22,True,0,0,0,ACTIVE
25.0,obstacles,adaptive,17.2,0.0,1.0,0,99.8,3.31,True,0,0,0,ACTIVE
25.5,obstacles,adaptive,17.7,0.0,1.0,0,99.8,3.42,True,0,0,0,ACTIVE
26.0,obstacles,adaptive,18.2,0.0,1.0,0,99.8,3.52,True,0,0,0,ACTIVE
26.5,obstacles,adaptive,18.7,0.0,1.0,0,99.8,3.62,True,0,0,0,ACTIVE
27.0,obstacles,adaptive,19.2,0.0,1.0,0,99.8,3.73,True,0,0,0,ACTIVE
27.5,obstacles,adaptive,19.7,0.0,1.0,0,99.8,3.82,True,0,0,0,ACTIVE
28.0,obstacles,adaptive,20.2,0.0,1.0,0,99.8,3.9,True,0,0,0,ACTIVE
28.5,obstacles,adaptive,20.7,0.0,1.0,0,99.8,3.95,True,0,0,0,ACTIVE
29.0,obstacles,adaptive,21.2,0.0,1.0,0,99.8,3.99,True,0,0,0,ACTIVE
29.5,obstacles,adaptive,21.7,0.0,1.0,0,99.8,4.01,True,0,0,0,ACTIVE
30.0,obstacles,adaptive,22.2,0.0,1.0,0,99.8,4.01,True,0,0,0,ACTIVE
30.5,obstacles,adaptive,22.7,0.0,1.0,0,99.8,4.02,True,0,0,0,ACTIVE
