timestamp,world,config,execution_time_s,nav_accuracy_m,path_efficiency,recovery_count,battery_pct,total_distance_m,navigation_active,goals_completed,goals_failed,goals_canceled,goal_status
2.9,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.0,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
3.5,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.0,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
4.5,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.0,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
5.5,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.0,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
6.5,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.0,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
7.5,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.0,obstacles,baseline,0.0,0.0,0.0,0,100.0,0.0,False,0,0,0,IDLE
8.5,obstacles,baseline,0.5,0.0,1.0,0,100.0,0.06,True,0,0,0,ACTIVE
9.0,obstacles,baseline,1.0,0.0,1.0,0,100.0,0.16,True,0,0,0,ACTIVE
9.5,obstacles,baseline,1.5,0.0,1.0,0,100.0,0.26,True,0,0,0,ACTIVE
10.0,obstacles,baseline,2.0,0.0,1.0,0,100.0,0.36,True,0,0,0,ACTIVE
10.5,obstacles,baseline,2.5,0.0,1.0,0,100.0,0.46,True,0,0,0,ACTIVE
11.0,obstacles,baseline,3.0,0.0,1.0,0,100.0,0.56,True,0,0,0,ACTIVE
11.5,obstacles,baseline,3.6,0.0,1.0,0,100.0,0.66,True,0,0,0,ACTIVE
12.0,obstacles,baseline,4.1,0.0,1.0,0,100.0,0.78,True,0,0,0,ACTIVE
12.5,obstacles,baseline,4.6,0.0,1.0,0,100.0,0.87,True,0,0,0,ACTIVE
13.0,obstacles,baseline,5.1,0.0,1.0,0,100.0,0.97,True,0,0,0,ACTIVE
13.5,obstacles,baseline,5.6,0.0,1.0,0,99.9,1.09,True,0,0,0,ACTIVE
14.0,obstacles,baseline,6.1,0.0,1.0,0,99.9,1.19,True,0,0,0,ACTIVE
14.5,obstacles,baseline,6.6,0.0,1.0,0,99.9,1.29,True,0,0,0,ACTIVE
15.0,obstacles,baseline,7.1,0.0,1.0,0,99.9,1.38,True,0,0,0,ACTIVE
15.5,obstacles,baseline,7.6,0.0,1.0,0,99.9,1.48,True,0,0,0,ACTIVE
16.0,obstacles,baseline,8.1,0.0,1.0,0,99.9,1.58,True,0,0,0,ACTIVE
16.5,obstacles,baseline,8.6,0.0,1.0,0,99.9,1.67,True,0,0,0,ACTIVE
17.0,obstacles,baseline,9.1,0.0,1.0,0,99.9,1.77,True,0,0,0,ACTIVE
17.5,obstacles,baseline,9.6,0.0,1.0,0,99.9,1.86,True,0,0,0,ACTIVE
18.0,obstacles,baseline,10.1,0.0,1.0,0,99.9,1.95,True,0,0,0,ACTIVE
18.5,obstacles,baseline,10.6,0.0,1.0,0,99.9,2.05,True,0,0,0,ACTIVE
19.0,obstacles,baseline,11.1,0.0,1.0,0,99.9,2.15,True,0,0,0,ACTIVE
19.5,obstacles,baseline,11.7,0.0,1.0,0,99.9,2.25,True,0,0,0,ACTIVE
20.0,obstacles,baseline,12.2,0.0,1.0,0,99.9,2.36,True,0,0,0,ACTIVE
20.5,obstacles,baseline,12.7,0.0,1.0,0,99.9,2.46,True,0,0,0,ACTIVE
21.0,obstacles,baseline,13.2,0.0,1.0,0,99.9,2.55,True,0,0,0,ACTIVE
21.5,obstacles,baseline,13.7,0.0,1.0,0,99.9,2.66,True,0,0,0,ACTIVE
